brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price,engine_displacement,engine_cylinders,vehicle_age,price_per_mile,mileage_per_year,is_luxury_brand,has_accident,is_ev_or_hybrid,age_mileage_score
Lincoln,Aviator Reserve Awd,2022,18196.0,Gasoline,400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission W/Dual Shift Mode,Black,Brown,None Reported,Yes,62000.0,3.0,6.0,2,3.4072,6065.0,1,0,0,0.0364
Jaguar,F-Type,2020,15903.0,Gasoline,2.0 Liter Supercharged,Automatic,Silver,Black,None Reported,Unknown,47998.0,,,4,3.018,3181.0,0,0,0,0.0636
Land,Rover Lr4 Hse,2013,79800.0,Gasoline,375.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,White,Black,None Reported,Yes,29990.0,5.0,8.0,11,0.3758,6650.0,0,0,0,0.8778
Mercedes-Benz,Metris Base,2021,1685.0,Gasoline,2.0L I4 16V GDI DOHC Turbo,9-Speed Automatic,Gray,White,None Reported,Yes,250000.0,2.0,,3,148.28,421.0,1,0,0,0.0051
Dodge,Challenger Sxt,2013,61074.0,Gasoline,305.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,None Reported,Yes,16800.0,3.6,6.0,11,0.2751,5090.0,0,0,0,0.6718
Nissan,350Z Enthusiast,2003,74000.0,Gasoline,287.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Purple,–,None Reported,Yes,11000.0,3.5,6.0,21,0.1486,3364.0,0,0,0,1.554
Jaguar,F-Type R,2018,35250.0,Gasoline,550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Green,Black,None Reported,Yes,68750.0,5.0,8.0,6,1.9503,5036.0,0,0,0,0.2115
Genesis,Gv70 3.5T Sport,2023,5400.0,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Green,Beige,Unknown,Unknown,60000.0,3.5,6.0,1,11.1091,2700.0,1,0,0,0.0054
Chevrolet,S-10 Ls,2000,133510.0,E85 Flex Fuel,120.0HP 2.2L 4 Cylinder Engine Flex Fuel Capability,A/T,Blue,Black,None Reported,Yes,4500.0,2.2,4.0,24,0.0337,5340.0,0,0,0,3.2042
Bmw,440 Gran Coupe 440I Xdrive,2020,25990.0,Gasoline,3.0 Liter Turbo,Automatic,White,Beige,None Reported,Unknown,38598.0,,,4,1.4851,5198.0,1,0,0,0.104
Ford,F-150 Xlt,2023,2823.0,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,Automatic,Iconic Silver Metallic,Black,None Reported,Yes,58504.0,3.5,,1,20.7167,1412.0,0,0,0,0.0028
Chevrolet,Suburban Rst,2021,52000.0,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Blue,Black,None Reported,Yes,61000.0,5.3,8.0,3,1.1731,13000.0,0,0,0,0.156
Hyundai,Elantra N Base,2022,11650.0,Gasoline,276.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission W/Dual Shift Mode,Black,Black,None Reported,Yes,32300.0,2.0,4.0,2,2.7723,3883.0,0,0,0,0.0233
Nissan,Sentra Sr,2016,96541.0,Gasoline,1.8 Liter,Automatic,Blue,Black,None Reported,Unknown,13998.0,,,8,0.145,10727.0,0,0,0,0.7723
Mercedes-Benz,Amg Cla 45 Base 4Matic,2021,17500.0,Gasoline,382.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None Reported,Yes,59995.0,2.0,4.0,3,3.4281,4375.0,1,0,0,0.0525
Bmw,650 Gran Coupe I Xdrive,2015,69000.0,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,None Reported,Yes,25700.0,4.4,8.0,9,0.3725,6900.0,1,0,0,0.621
Audi,Q5 2.0T Premium Plus,2017,81880.0,E85 Flex Fuel,2.0L I4 16V GDI DOHC Turbo Flexible Fuel,8-Speed Automatic,Mythos Black Metallic,Black,None Reported,Yes,21375.0,2.0,,7,0.261,10235.0,1,0,0,0.5732
Mercedes-Benz,Amg C 43 Base 4Matic,2018,28800.0,Gasoline,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,Silver,Black,None Reported,Yes,48000.0,3.0,6.0,6,1.6666,4114.0,1,0,0,0.1728
Dodge,Ram 1500 Laramie Mega Cab,2006,223089.60000000012,Gasoline,345.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Silver,Gray,At Least 1 Accident Or Damage Reported,Yes,10900.0,5.7,8.0,18,0.0489,11742.0,0,1,0,4.0156
Bmw,I3 120Ah W/Range Extender,2020,35035.0,Hybrid,120 AH,Automatic,Black,Black,None Reported,Unknown,24998.0,,,4,0.7135,7007.0,1,0,1,0.1401
Kia,Sorento Sx,2011,171000.0,Gasoline,276.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None Reported,Yes,5999.0,3.5,6.0,13,0.0351,12214.0,0,0,0,2.223
Lexus,Lx 570 Base,2016,118700.0,Gasoline,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Beige,None Reported,Yes,46900.0,5.7,8.0,8,0.3951,13189.0,1,0,0,0.9496
Jeep,New Compass Trailhawk,2017,119000.0,Gasoline,180.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,Red,Black,None Reported,Yes,15900.0,2.4,4.0,7,0.1336,14875.0,0,0,0,0.833
Bmw,340 I,2018,44261.0,Gasoline,3.0 Liter Turbo,Automatic,Gray,Black,None Reported,Unknown,33598.0,,,6,0.7591,6323.0,1,0,0,0.2656
Audi,A4 2.0T Premium Plus Quattro,2012,125575.0,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Black,None Reported,Yes,8999.0,2.0,4.0,12,0.0717,9660.0,1,0,0,1.5069
Hyundai,Tucson Se,2007,16200.0,Gasoline,173.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,A/T,Gold,Beige,None Reported,Yes,8200.0,2.7,6.0,17,0.5061,900.0,0,0,0,0.2754
Bmw,Z4 Sdrive28I,2014,70000.0,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Beige,At Least 1 Accident Or Damage Reported,Yes,20000.0,2.0,4.0,10,0.2857,6364.0,1,1,0,0.7
Bentley,Continental Gtc Base,2011,20200.0,E85 Flex Fuel,552.0HP 6.0L 12 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Black,Black,None Reported,Yes,79950.0,6.0,12.0,13,3.9577,1443.0,0,0,0,0.2626
Honda,Passport Elite,2023,2978.0,Gasoline,3.5 Liter SOHC,Automatic,Lunar Silver Metallic,Gray,None Reported,Unknown,45498.0,,,1,15.2729,1489.0,0,0,0,0.003
Dodge,Sprinter 2500,2007,189719.0,Diesel,3.0L V6 Cylinder Engine Diesel Fuel,5-Speed A/T,White,Gray,At Least 1 Accident Or Damage Reported,Yes,14000.0,3.0,6.0,17,0.0738,10540.0,0,1,0,3.2252
Bmw,M850 I Xdrive,2019,9949.0,Gasoline,4.4 Liter DOHC Twin Turbo,Automatic,Blue,Black,None Reported,Unknown,75798.0,,,5,7.6179,1658.0,1,0,0,0.0497
Lucid,Air Grand Touring,2022,3552.0,Gasoline,536.0HP Electric Motor Electric Fuel System,1-Speed A/T,Red,Beige,None Reported,Yes,119999.0,,,2,33.774,1184.0,0,0,0,0.0071
Audi,A7 Premium,2012,54000.0,Gasoline,310.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Brown,At Least 1 Accident Or Damage Reported,Yes,36880.0,3.0,6.0,12,0.683,4154.0,1,1,0,0.648
Chevrolet,Silverado 1500 Custom Trail Boss,2021,51351.0,Gasoline,5.3L V8 16V GDI OHV,Automatic,Black,Jet Black,None Reported,Yes,43147.0,5.3,,3,0.8402,12838.0,0,0,0,0.1541
Mini,Convertible John Cooper Works,2017,24280.0,Gasoline,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,At Least 1 Accident Or Damage Reported,Yes,29000.0,2.0,4.0,7,1.1943,3035.0,0,1,0,0.17
Toyota,Avalon Touring,2016,89148.0,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None Reported,Yes,17500.0,3.5,6.0,8,0.1963,9905.0,0,0,0,0.7132
Porsche,Cayenne Platinum Edition,2017,73043.0,Gasoline,300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None Reported,Yes,30990.0,3.6,6.0,7,0.4243,9130.0,1,0,0,0.5113
Mercedes-Benz,Amg C 63 S,2017,60000.0,Gasoline,503.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission W/Dual Shift Mode,Gray,Black,At Least 1 Accident Or Damage Reported,Yes,52500.0,4.0,8.0,7,0.875,7500.0,1,1,0,0.42
Honda,Cr-V Ex-L,2016,73549.0,Gasoline,2.4L I4 16V GDI DOHC,Automatic Cvt,Mountain Air Metallic,Black,At Least 1 Accident Or Damage Reported,Unknown,20848.0,2.4,,8,0.2835,8172.0,0,1,0,0.5884
Hummer,H2 Base,2005,110900.0,Gasoline,325.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None Reported,Yes,19500.0,6.0,8.0,19,0.1758,5545.0,0,0,0,2.1071
Porsche,911 Carrera S,2013,39000.0,Gasoline,400.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Blue,Black,None Reported,Yes,73000.0,3.8,6.0,11,1.8717,3250.0,1,0,0,0.429
Mercedes-Benz,Cla-Class Cla 250,2016,120000.0,Gasoline,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission W/Dual Shift Mode,Black,Black,None Reported,Yes,19800.0,2.0,4.0,8,0.165,13333.0,1,0,0,0.96
Chrysler,300 Touring,2009,134602.0,Gasoline,250.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission W/Dual Shift Mode,Blue,Black,None Reported,Yes,7500.0,3.5,6.0,15,0.0557,8413.0,0,0,0,2.019
Nissan,Rogue Sv,2023,1094.0,Gasoline,1.5L I3 12V GDI DOHC Turbo,Automatic Cvt,Caspian Blue,Light Gray,None Reported,Unknown,30999.0,1.5,,1,28.3096,547.0,0,0,0,0.0011
Audi,A3 2.0T,2010,83500.0,Gasoline,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission W/Dual Shift Mode,Silver,Black,None Reported,Yes,6500.0,2.0,4.0,14,0.0778,5567.0,1,0,0,1.169
Ford,Mustang Gt Premium,2014,37060.0,Gasoline,420.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None Reported,Yes,28500.0,5.0,8.0,10,0.769,3369.0,0,0,0,0.3706
Acura,Rl Technology,2010,97700.0,Gasoline,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Transmission W/Dual Shift Mode,Blue,Beige,None Reported,Yes,10995.0,3.7,6.0,14,0.1125,6513.0,0,0,0,1.3678
Volvo,Xc90 Hybrid T8 R-Design,2018,40000.0,Plug-In Hybrid,400.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,Transmission W/Dual Shift Mode,Black,Black,None Reported,Yes,42000.0,2.0,4.0,6,1.05,5714.0,0,0,1,0.24
Audi,R8 5.2 V10,2018,8940.0,Gasoline,5.2L V10 40V PDI DOHC,7-Speed Automatic With Auto-Shift,Tango Red Metallic,Black,None Reported,Unknown,144900.0,5.2,,6,16.2062,1277.0,1,0,0,0.0536
Mercedes-Benz,Glk-Class Glk 350,2014,186000.0,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Beige,At Least 1 Accident Or Damage Reported,Yes,10000.0,3.5,6.0,10,0.0538,16909.0,1,1,0,1.86
Toyota,C-Hr Le,2021,13180.0,Gasoline,2.0 Liter,Cvt-F,–,–,None Reported,Unknown,23998.0,,,3,1.8207,3295.0,0,0,0,0.0395
Lexus,Is 350 Base,2014,104000.0,Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None Reported,Yes,21000.0,3.5,6.0,10,0.2019,9455.0,1,0,0,1.04
Bmw,X4 M40I,2023,8500.0,Hybrid,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Transmission W/Dual Shift Mode,Gray,Beige,None Reported,Yes,67900.0,3.0,6.0,1,7.9873,4250.0,1,0,1,0.0085
Bmw,M4 Cs,2019,19069.0,Gasoline,3.0 Liter DOHC Turbo,Automatic,Alpine White,Anthracite,None Reported,Unknown,69998.0,,,5,3.6706,3178.0,1,0,0,0.0953
Cadillac,Ct5 Premium Luxury,2023,6090.0,Gasoline,237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None Reported,Yes,46900.0,2.0,4.0,1,7.6999,3045.0,1,0,0,0.0061
Lucid,Air Grand Touring,2022,4900.0,Gasoline,536.0HP Electric Motor Electric Fuel System,1-Speed A/T,Red,Black,None Reported,Yes,99000.0,,,2,20.2,1633.0,0,0,0,0.0098
Audi,A5 2.0T Premium Plus,2019,47523.0,Gasoline,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission W/Dual Shift Mode,Black,Black,None Reported,Yes,31000.0,2.0,4.0,5,0.6523,7920.0,1,0,0,0.2376
Chrysler,300C Srt8,2006,43000.0,Gasoline,425.0HP 6.1L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,Silver,Black,At Least 1 Accident Or Damage Reported,Yes,19995.0,6.1,8.0,18,0.465,2263.0,0,1,0,0.774
Bentley,Continental Gt W12,2017,14684.0,Gasoline,582.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,White,None Reported,Yes,130000.0,6.0,12.0,7,8.8526,1836.0,0,0,0,0.1028
Bmw,M4 Base,2019,57800.0,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission W/Dual Shift Mode,Black,Red,None Reported,Yes,55999.0,3.0,6.0,5,0.9688,9633.0,1,0,0,0.289
Toyota,Gr Corolla Circuit Edition,2023,952.0,Gasoline,300.0HP 1.6L 3 Cylinder Engine Gasoline Fuel,6-Speed M/T,Silver,Gray,None Reported,Yes,49950.0,1.6,3.0,1,52.4134,476.0,0,0,0,0.001
Audi,Rs 5 2.9T,2019,21240.0,Gasoline,444.0HP 2.9L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,At Least 1 Accident Or Damage Reported,Yes,59950.0,2.9,6.0,5,2.8224,3540.0,1,1,0,0.1062
Porsche,Cayenne Base,2019,59338.0,Gasoline,335.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission W/Dual Shift Mode,Black,Black,None Reported,Yes,42499.0,3.0,6.0,5,0.7162,9890.0,1,0,0,0.2967
Maserati,Quattroporte S,2019,23230.0,Gasoline,424.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None Reported,Yes,44999.0,3.0,6.0,5,1.937,3872.0,0,0,0,0.1162
Jaguar,Xf 35T R-Sport,2017,48000.0,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Red,Black,At Least 1 Accident Or Damage Reported,Yes,30000.0,3.0,6.0,7,0.625,6000.0,0,1,0,0.336
Lexus,Es 330 Base,2005,41059.0,Gasoline,225.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,White,Beige,None Reported,Yes,11100.0,3.3,6.0,19,0.2703,2053.0,1,0,0,0.7801
Land,Rover Discovery Sport Se R-Dynamic,2020,21240.0,Gasoline,2.0 Liter,Automatic,White,Black,None Reported,Unknown,37998.0,,,4,1.7889,4248.0,0,0,0,0.085
Porsche,Cayman Gts,2015,11500.0,Gasoline,340.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Silver,–,None Reported,Yes,72000.0,3.4,6.0,9,6.2603,1150.0,1,0,0,0.1035
Genesis,G90 3.3T Premium,2021,9950.0,Gasoline,365.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Blue,None Reported,Yes,53950.0,3.3,6.0,3,5.4216,2488.0,1,0,0,0.0298
Volkswagen,Golf R 20Th Anniversary Edition,2023,633.0,Gasoline,315.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Black,None Reported,Yes,47999.0,2.0,4.0,1,75.7082,316.0,0,0,0,0.0006
Hyundai,Sonata Hybrid Limited,2015,66000.0,Hybrid,199.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid,A/T,White,Gray,At Least 1 Accident Or Damage Reported,Yes,15900.0,2.4,4.0,9,0.2409,6600.0,0,1,1,0.594
Audi,Rs 7 4.0T Prestige,2014,59715.0,Gasoline,560.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,At Least 1 Accident Or Damage Reported,Yes,45000.0,4.0,8.0,10,0.7536,5429.0,1,1,0,0.5972
Bmw,740 Li,2012,85252.0,Gasoline,326.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None Reported,Yes,18500.0,3.0,6.0,12,0.217,6558.0,1,0,0,1.023
Mercedes-Benz,Gls 450 Base 4Matic,2020,17900.0,Hybrid,362.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,9-Speed A/T,Black,Black,At Least 1 Accident Or Damage Reported,Yes,80000.0,3.0,6.0,4,4.469,3580.0,1,1,1,0.0716
Bmw,M6 Base,2016,25500.0,Gasoline,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Black,None Reported,Yes,55000.0,4.4,8.0,8,2.1568,2833.0,1,0,0,0.204
Subaru,Forester 2.5 X,2004,210703.0,Gasoline,165.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,M/T,Green,Beige,Unknown,Unknown,2300.0,2.5,4.0,20,0.0109,10033.0,0,0,0,4.2141
Hyundai,Elantra N Base,2023,3800.0,Gasoline,276.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Black,None Reported,Yes,34000.0,2.0,4.0,1,8.945,1900.0,0,0,0,0.0038
Kia,Niro Plug-In Hybrid Ex Premium,2022,36602.0,Hybrid,1.6L I4 16V GDI DOHC Hybrid,6-Speed Automatic With Auto-Shift,Horizon Blue,Charcoal,None Reported,Yes,31995.0,1.6,,2,0.8741,12201.0,0,0,1,0.0732
Rivian,R1S Adventure Package,2023,2800.0,Gasoline,835.0HP Electric Motor Electric Fuel System,1-Speed A/T,White,Green,None Reported,Yes,92000.0,,,1,32.8454,1400.0,0,0,0,0.0028
Mercedes-Benz,Slc 300 Base,2018,33000.0,Gasoline,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,Red,Black,At Least 1 Accident Or Damage Reported,Yes,29900.0,2.0,4.0,6,0.906,4714.0,1,1,0,0.198
Bmw,435 Gran Coupe I,2016,76009.0,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Beige,None Reported,Yes,24950.0,3.0,6.0,8,0.3282,8445.0,1,0,0,0.6081
Jeep,Grand Cherokee Summit,2020,31349.0,Gasoline,5.7L V8 16V MPFI OHV,8-Speed Automatic,Granite Crystal Clearcoat Metallic,Black,None Reported,Unknown,39366.0,5.7,,4,1.2557,6270.0,0,0,0,0.1254
Lexus,Rc 350 Base,2015,48000.0,Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission W/Dual Shift Mode,Orange,Red,None Reported,Yes,32900.0,3.5,6.0,9,0.6854,4800.0,1,0,0,0.432
Bmw,525 I,2005,91420.0,Gasoline,215.0HP 2.5L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None Reported,Yes,8900.0,2.5,6.0,19,0.0974,4571.0,1,0,0,1.737
Toyota,Corolla Le,2003,124756.0,Gasoline,130.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,M/T,Beige,Beige,At Least 1 Accident Or Damage Reported,Yes,4995.0,1.8,4.0,21,0.04,5671.0,0,1,0,2.6199
Cadillac,Ct5-V Blackwing,2023,2415.0,Gasoline,6.2L V8 16V GDI OHV Supercharged,10-Speed Automatic,Rift Metallic,Gray,None Reported,Unknown,104900.0,6.2,,1,43.4189,1208.0,1,0,0,0.0024
Gmc,Acadia Slt-1,2012,116226.0,Gasoline,288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None Reported,Yes,7900.0,3.6,6.0,12,0.068,8940.0,0,0,0,1.3947
Lexus,Lc 500 Base,2020,37869.0,Gasoline,5.0L V8 32V PDI DOHC,10-Speed Automatic,Atomic Silver,Rioja Red,None Reported,Unknown,75950.0,5.0,,4,2.0055,7574.0,1,0,0,0.1515
Bmw,I8 Base,2019,41500.0,Plug-In Hybrid,369.0HP 1.5L 3 Cylinder Engine Plug-In Electric/Gas,Transmission W/Dual Shift Mode,White,Black,None Reported,Yes,86000.0,1.5,3.0,5,2.0722,6917.0,1,0,1,0.2075
Lexus,Es 300H Base,2013,87001.0,Hybrid,200.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,Cvt Transmission,Gold,Beige,None Reported,Yes,17995.0,2.5,4.0,11,0.2068,7250.0,1,0,1,0.957
Cadillac,Ct5-V V-Series,2022,4451.0,Gasoline,3.0L V6 24V GDI DOHC Twin Turbo,Automatic,Summit White,Jet Black,At Least 1 Accident Or Damage Reported,Yes,55655.0,3.0,,2,12.5011,1484.0,1,1,0,0.0089
Bmw,540 I Xdrive,2020,27158.0,Gasoline,2.0 Liter Turbo,Automatic,Imperial Blue Metallic,Canberra Beige/Black,None Reported,Unknown,39998.0,,,4,1.4727,5432.0,1,0,0,0.1086
Chevrolet,Express 1500 Work Van,2014,139804.0,Gasoline,195.0HP 4.3L V6 Cylinder Engine Gasoline Fuel,A/T,White,Gray,At Least 1 Accident Or Damage Reported,Yes,14500.0,4.3,6.0,10,0.1037,12709.0,0,1,0,1.398
Jeep,Gladiator Rubicon,2022,27300.0,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Green,Black,None Reported,Yes,47500.0,3.6,6.0,2,1.7399,9100.0,0,0,0,0.0546
Bmw,Z4 Sdrive28I,2014,36812.0,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission W/Dual Shift Mode,White,Beige,None Reported,Yes,27000.0,2.0,4.0,10,0.7334,3347.0,1,0,0,0.3681
Land,Rover Lr4 Hse Lux Landmark Edition,2016,144000.0,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,At Least 1 Accident Or Damage Reported,Yes,18000.0,3.0,6.0,8,0.125,16000.0,0,1,0,1.152
Cadillac,Xt4 Sport,2019,44500.0,Gasoline,237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,Blue,White,None Reported,Yes,28900.0,2.0,4.0,5,0.6494,7417.0,1,0,0,0.2225
Bmw,750 750I Xdrive,2021,10917.0,Gasoline,4.4 Liter Twin Turbo,Automatic,Black,Black,None Reported,Unknown,73998.0,,,3,6.7776,2729.0,1,0,0,0.0328
Bentley,Arnage R,2005,8332.0,Gasoline,400.0HP 6.75L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,White,Beige,None Reported,Yes,47350.0,6.75,8.0,19,5.6822,417.0,0,0,0,0.1583
Lincoln,Aviator Reserve Awd,2020,51247.0,Gasoline,3.0 Liter GTDI,Automatic,Magnetic Gray Clearcoat,Roast,None Reported,Unknown,47698.0,,,4,0.9307,10249.0,1,0,0,0.205
Mercedes-Benz,Amg Gl Amg Gl 63 4Matic,2016,69000.0,Gasoline,550.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,Transmission W/Dual Shift Mode,Black,Brown,None Reported,Yes,36500.0,5.5,8.0,8,0.529,7667.0,1,0,0,0.552
Ram,Promaster 3500 High Roof,2021,147834.0,Gasoline,3.6L V6 24V MPFI DOHC,6-Speed Automatic,Bright White Clearcoat,Black,None Reported,Yes,32662.0,3.6,,3,0.2209,36958.0,0,0,0,0.4435
